sub,session,run,trail,id
1,1,1,1,n01440764/n01440764_8504.JPEG
1,1,1,2,n01443537/n01443537_21831.JPEG
1,1,1,3,n01484850/n01484850_21023.JPEG
1,1,1,4,n01491361/n01491361_358.JPEG
1,1,1,5,n01494475/n01494475_7966.JPEG
1,1,1,6,n01496331/n01496331_4140.JPEG
1,1,1,7,n01498041/n01498041_1783.JPEG
1,1,1,8,n01514668/n01514668_17986.JPEG
1,1,1,9,n01514859/n01514859_3597.JPEG
1,1,1,10,n01518878/n01518878_8764.JPEG
1,1,1,11,n01530575/n01530575_713.JPEG
1,1,1,12,n01531178/n01531178_6757.JPEG
1,1,1,13,n01532829/n01532829_4384.JPEG
1,1,1,14,n01534433/n01534433_5260.JPEG
1,1,1,15,n01537544/n01537544_9801.JPEG
1,1,1,16,n01558993/n01558993_10848.JPEG
1,1,1,17,n01560419/n01560419_3396.JPEG
1,1,1,18,n01580077/n01580077_1863.JPEG
1,1,1,19,n01582220/n01582220_845.JPEG
1,1,1,20,n01592084/n01592084_6477.JPEG
1,1,1,21,n01601694/n01601694_10962.JPEG
1,1,1,22,n01608432/n01608432_5136.JPEG
1,1,1,23,n01614925/n01614925_18212.JPEG
1,1,1,24,n01616318/n01616318_4104.JPEG
1,1,1,25,n01622779/n01622779_18144.JPEG
1,1,1,26,n01629819/n01629819_12226.JPEG
1,1,1,27,n01630670/n01630670_9935.JPEG
1,1,1,28,n01631663/n01631663_12339.JPEG
1,1,1,29,n01632458/n01632458_1858.JPEG
1,1,1,30,n01632777/n01632777_4821.JPEG
1,1,1,31,n01641577/n01641577_1969.JPEG
1,1,1,32,n01644373/n01644373_8248.JPEG
1,1,1,33,n01644900/n01644900_6417.JPEG
1,1,1,34,n01664065/n01664065_385.JPEG
1,1,1,35,n01665541/n01665541_12404.JPEG
1,1,1,36,n01667114/n01667114_4991.JPEG
1,1,1,37,n01667778/n01667778_8701.JPEG
1,1,1,38,n01669191/n01669191_7545.JPEG
1,1,1,39,n01675722/n01675722_1559.JPEG
1,1,1,40,n01677366/n01677366_9108.JPEG
1,1,1,41,n01682714/n01682714_11191.JPEG
1,1,1,42,n01685808/n01685808_7020.JPEG
1,1,1,43,n01687978/n01687978_5911.JPEG
1,1,1,44,n01688243/n01688243_4265.JPEG
1,1,1,45,n01689811/n01689811_8344.JPEG
1,1,1,46,n01692333/n01692333_2778.JPEG
1,1,1,47,n01693334/n01693334_10088.JPEG
1,1,1,48,n01694178/n01694178_584.JPEG
1,1,1,49,n01695060/n01695060_21310.JPEG
1,1,1,50,n01697457/n01697457_16830.JPEG
1,1,1,51,n01698640/n01698640_17546.JPEG
1,1,1,52,n01704323/n01704323_6574.JPEG
1,1,1,53,n01728572/n01728572_10000.JPEG
1,1,1,54,n01728920/n01728920_3420.JPEG
1,1,1,55,n01729322/n01729322_18990.JPEG
1,1,1,56,n01729977/n01729977_1200.JPEG
1,1,1,57,n01734418/n01734418_6287.JPEG
1,1,1,58,n01735189/n01735189_14205.JPEG
1,1,1,59,n01737021/n01737021_15205.JPEG
1,1,1,60,n01739381/n01739381_10554.JPEG
1,1,1,61,n01740131/n01740131_8795.JPEG
1,1,1,62,n01742172/n01742172_19079.JPEG
1,1,1,63,n01744401/n01744401_5095.JPEG
1,1,1,64,n01748264/n01748264_843.JPEG
1,1,1,65,n01749939/n01749939_10607.JPEG
1,1,1,66,n01751748/n01751748_20312.JPEG
1,1,1,67,n01753488/n01753488_698.JPEG
1,1,1,68,n01755581/n01755581_8977.JPEG
1,1,1,69,n01756291/n01756291_7726.JPEG
1,1,1,70,n01768244/n01768244_4989.JPEG
1,1,1,71,n01770081/n01770081_6791.JPEG
1,1,1,72,n01770393/n01770393_8024.JPEG
1,1,1,73,n01773157/n01773157_5798.JPEG
1,1,1,74,n01773549/n01773549_2175.JPEG
1,1,1,75,n01773797/n01773797_7972.JPEG
1,1,1,76,n01774384/n01774384_11649.JPEG
1,1,1,77,n01774750/n01774750_11962.JPEG
1,1,1,78,n01775062/n01775062_7896.JPEG
1,1,1,79,n01776313/n01776313_5452.JPEG
1,1,1,80,n01784675/n01784675_17101.JPEG
1,1,1,81,n01795545/n01795545_15812.JPEG
1,1,1,82,n01796340/n01796340_19517.JPEG
1,1,1,83,n01797886/n01797886_22915.JPEG
1,1,1,84,n01798484/n01798484_9358.JPEG
1,1,1,85,n01806143/n01806143_12266.JPEG
1,1,1,86,n01806567/n01806567_6390.JPEG
1,1,1,87,n01807496/n01807496_9523.JPEG
1,1,1,88,n01817953/n01817953_7051.JPEG
1,1,1,89,n01818515/n01818515_4984.JPEG
1,1,1,90,n01819313/n01819313_3368.JPEG
1,1,1,91,n01820546/n01820546_1212.JPEG
1,1,1,92,n01824575/n01824575_7060.JPEG
1,1,1,93,n01828970/n01828970_5508.JPEG
1,1,1,94,n01829413/n01829413_3283.JPEG
1,1,1,95,n01833805/n01833805_3838.JPEG
1,1,1,96,n01843065/n01843065_377.JPEG
1,1,1,97,n01843383/n01843383_6760.JPEG
